title,genre,rating,status,episodes,release year,description
Fairy Tail: 100 Years Quest,"['Anime', 'Hành động', 'Giả tưởng', 'Phiêu lưu']","['9.2', '228']",Đang tiến hành,13,2024,N/A
Wistoria: Wand and Sword,"['Anime', 'Hành động', 'Học đường', 'Siêu nhiên', 'Phiêu lưu']","['8.6', '263']",Đang tiến hành,12,2024,N/A
One Piece,"['Anime', 'Hành động', 'Hài hước', 'Phiêu lưu', 'Shounen', 'Drama']","['9.0', '16363']",Đang tiến hành,1131,1999,"Monkey D. Luffy, 1 cậu bé rất thích Đảo hải tặc có ước mơ tìm được kho báu One Piece và trở thành Vua hải tặc - Pirate King. Lúc nhỏ, Luffy tình cờ ăn phải trái quỉ (Devil Fruit) Gomu Gomu, nó cho cơ thể cậu khả năng co dãn đàn hồi như cao su nhưng đổi lại cậu sẽ không bao giờ biết bơi. Sau đó Luffy lại được Shank cứu thoát tuy nhiên ông ta bị mất 1 cánh tay. Sau đấy Shank chia tay Luffy và để lại cho cậu cái mũ rơm (Straw Hat) và nói rằng: Sau này bao giờ thành cướp biển hãy gặp ta và trả lại nó. Chính lời nói này đã thúc đầy Luffy trở thành 1 cướp biển thật sự."
The Elusive Samurai,"['Anime', 'Hành động', 'Lịch sử', 'Drama', 'Phiêu lưu', 'Samurai']","['8.0', '77']",Hoàn thành,13,2024,"Lấy bối cảnh ở Nhật Bản thời phong kiến ​​giữa thời kỳ Kamakura và Muromachi, anh hùng Hojo Takatoki của chúng ta là một cậu bé đang chạy trốn mà lịch sử đã quên lãng! Khi Mạc phủ Kamakura bị lật đổ bởi Ashikaga Takauji, gia đình và địa vị của Takatoki rõ ràng đã bị lấy đi khỏi anh ta, và anh ta phải chạy trốn đến những vùng đất xa xôi để sống sót và tìm cách trả thù!"
Koi wa Futago de Warikirenai,"['Anime', 'Hài hước', 'Tình cảm']","['6.6', '42']",Hoàn thành,12,2024,"Jun Shirasaki và chị em Jinguuji là bạn thời thơ ấu và là hàng xóm. Khi bạn gái đầu tiên của Jun, chị gái Ryuumi, chia tay anh, cô ấy đã nói điều gì đó khiến mối quan hệ của ba người, mối tình đầu và mối tình lãng mạn của họ trở nên phức tạp—?"
Atri: My Dear Moments,"['Anime', 'Tình cảm', 'Drama']","['7.7', '44']",Hoàn thành,12,2024,"Một phần của nền văn minh loài người đã bị nuốt chửng bởi sự dâng cao bất thường của mực nước biển, nguyên nhân vẫn chưa được làm sáng tỏ. Ikaruga Natsuki, cậu bé mồ côi mẹ và mất một chân trong tai nạn, trở về quê nhà sau nhiều năm sống khổ cực tại thành phố lớn. Tuy nhiên, khi về đến nơi, tất cả những gì cậu thấy chỉ là căn nhà cũ đã bị ngập dưới nước. Cậu không còn ai thân thuộc, chỉ có chiếc tàu và tàu ngầm do bà để lại, cùng với một khoản nợ lớn phải trả. Cơ hội duy nhất để Natsuki lấy lại ước mơ về tương lai là nhận lời mời của"
Synonyms: Why Nobody Remembers My World?,"['Anime', 'Hành động', 'Siêu nhiên', 'Phiêu lưu']","['7.6', '89']",Hoàn thành,12,2024,"Sid - anh hùng đã dẫn dắt nhân loại chiến thắng trong cuộc chiến tranh giành quyền bá chủ Trái Đất, bỗng nhiên thấy mình bị xóa sổ khỏi lịch sử. Thế giới thay đổi, con người thất bại trước rồng và ác quỷ, và Sid trở thành kẻ vô danh. Kai là một cậu bé bí ẩn miễn nhiễm với sự thay đổi này, cũng là người duy nhất nhớ về Sid. Cùng Rinne, một cô gái bí ẩn, Kai quyết tâm khôi phục ký ức cho thế giới và đưa Sid trở lại vị trí anh hùng."
Tensui no Sakuna-hime,"['Anime', 'Hành động', 'Siêu nhiên']","['5.1', '26']",Hoàn thành,13,2024,"Nữ thần thu hoạch hư hỏng Sakuna thấy mình bị trục xuất khỏi thiên đường sang trọng của mình đến một hòn đảo tràn ngập ma quỷ. Ở vùng hoang dã hoang sơ, cô phải tìm lại quyền sinh ra của mình là con gái của một vị thần chiến binh và nữ thần thu hoạch bằng cách vượt qua các yếu tố, chiến đấu với quái vật và trồng lúa, nguồn sức mạnh của cô. Bên cạnh cô ở nơi cấm địa này là Tama, người giám hộ của cô và một nhóm người bị ruồng bỏ. Cùng nhau, những người bạn đồng hành không ngờ tới này phải chung tay để chế ngự cả vùng đất và lũ quỷ trên Đảo Hinoe."
Boku no Hero Academia 7th Season,"['Anime', 'Hành động', 'Học đường', 'Siêu năng lực', 'Shounen']","['8.9', '185']",Đang tiến hành,19,2024,N/A
2.5-jigen no Ririsa,"['Anime', 'Hài hước', 'Harem', 'Học đường', 'Đời thường', 'Ecchi']","['8.4', '100']",Đang tiến hành,13,2024,"Okumura, một cậu nam sinh cấp ba bị mẹ bỏ, bị bạn bè trong trường bắt nạt, bị crush phũ, dẫn đến cậu thành một otaku căm ghét gái 3D. Trong đầu cậu, chỉ có gái 2D là nhất. Có điều, đó là trước khi cậu gặp Ririsa, một nữ otaku có niềm đam mê với cosplay. Sau khi nhìn thấy waifu của mình hiện thân ngoài đời, Okumura chợt ngộ ra ""gái 2.5D"" là một thuật ngữ có thật."
Quality Assurance in Another World,"['Anime', 'Hành động', 'Siêu nhiên', 'Phiêu lưu', 'Viễn tưởng']","['6.8', '52']",Hoàn thành,13,2024,"Nikola chỉ là một cô gái bình thường làm việc tại quán trọ cho đến ngày lũ rồng xâm chiếm, cô gặp và được cứu bởi Haga, một người có sứ mệnh nghiên cứu gì đó. Tuy vậy thứ mà cô không biết chính là Nikola chỉ là NPC trong một tựa game mà Haga có nhiệm vụ làm QA (chơi thử để tìm bug, lỗi) và thế là vô số tình huống dở khóc dở cười diễn ra sau đó."
Pokémon Horizons: The Series,"['Anime', 'Hành động', 'Hài hước', 'Phiêu lưu']","['5.3', '202']",Đang tiến hành,67,2023,"Tạm biệt Satoshi (Ask Ketchum) và Một Series mới bắt đầu với Liko và Roy khi họ làm sáng tỏ những bí ẩn xung quanh họ và chạm trán với Friede, Đội trưởng Pikachu, Amethio và những người khác trong cuộc phiêu lưu thú vị của họ!"
Tensei shitara Slime Datta Ken 3rd Season,"['Anime', 'Hành động', 'Hài hước', 'Giả tưởng', 'Shounen', 'Phiêu lưu']","['8.9', '482']",Đang tiến hành,25,2024,N/A
NieR:Automata Ver1.1a,"['Anime', 'Hành động', 'Giả tưởng', 'Viễn tưởng']","['8.2', '194']",Đang tiến hành,24,2023,"Bộ phim kể về câu chuyện của các android 2B, 9S và A2 trong cuộc chiến chống lại sự tàn phá của những cỗ máy mạnh mẽ. Nhân loại đã bị đẩy ra khỏi Trái Đất bởi những sinh vật máy móc từ thế giới khác. Trong nỗ lực cuối cùng để cứu lấy hành tinh này, con người đã tạo ra một lực lượng lính android để tiêu diệt những kẻ xâm lược. Giờ đây, một cuộc chiến giữa máy móc và người máy đang diễn ra ác liệt..."
Hazure Waku no [Joutai Ijou Skill] de Saikyou ni Natta Ore ga Subete wo Juurin Suru made,"['Anime', 'Hành động', 'Drama', 'Siêu nhiên', 'Phiêu lưu']","['8.3', '235']",Hoàn thành,12,2024,"Mikumo Touka, một học sinh trung học không nổi bật, bị triệu hồi đến thế giới khác cùng với các bạn cùng lớp để trở thành dũng sĩ. Trong khi các bạn được nữ thần Vicius xếp vào hạng S và A, Touka bị xếp hạng E và trở thành đối tượng bị “vứt bỏ”. Bị đưa đến di tích nơi không ai sống sót, Touka cố gắng thoát ra bằng cách sử dụng kỹ năng trạng thái bất thường bị coi thường. Từ ngày đó, ngọn lửa phục thù nữ thần Vicius bùng cháy trong cậu và cậu bắt đầu bộc lộ bản chất thực sự ẩn giấu bên trong. Hãy bắt đầu cuộc cạnh tranh sinh tồn nào…"
Tasuuketsu,"['Anime', 'Hành động', 'Drama']","['3.2', '33']",Đang tiến hành,11,2024,N/A
Katsute Mahou Shoujo to Aku wa Tekitai Shiteita,"['Anime', 'Tình cảm', 'Siêu nhiên']","['8.3', '71']",Hoàn thành,12,2024,"Câu chuyện về Mira, một anh zai lãnh đạo một tổ chức tà ác với mục tiêu chiếm lấy thế giới. Nhưng đời ai biết được chữ ngờ, ổng gặp một ma pháp thiếu nữ tên là Byakuya Mimori rồi tình cờ yêu ẻm luôn. Romcom học đường thì cũng hay đấy? Thế romcom fantasy thì sao, cùng đón xem nhé!"
Isekai Shikkaku,"['Anime', 'Hành động', 'Hài hước', 'Phiêu lưu']","['8.3', '123']",Hoàn thành,12,2024,"Một cuộc phiêu lưu ở một thế giới khác với những cô gái dễ thương bên cạnh bạn và sức mạnh giống như trò chơi điện tử—nghe giống như giấc mơ của một người hâm mộ anime, phải không? Đối với tác giả u sầu Osamu Dazai thì không như vậy, người thực sự thích chết đi. Trò chơi điện tử thậm chí còn chưa được phát minh khi anh ta bị kéo vào một thế giới khác vào năm 1948. Thực sự, tất cả những cuộc phiêu lưu kỳ ảo mà anh ta tiếp tục tham gia chỉ cản trở giấc mơ thơ mộng của anh ta là tìm được một nơi hoàn hảo để chết. Nhưng cho dù anh ta có mạo hiểm đến mức nào đi chăng nữa, mọi thứ dường như vẫn diễn ra ổn thỏa. Theo chân một anh hùng khốn khổ không giống ai trong bộ phim hài isekai vui vẻ ảm đạm này!"
Hitoribocchi no Isekai Kouryaku,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Xuyên không', 'Ecchi']","['8.7', '37']",Đang tiến hành,1,2024,N/A
"""Oshi no Ko"" 2nd Season","['Anime', 'Drama', 'Seinen', 'Siêu nhiên']","['7.8', '172']",Đang tiến hành,12,2024,N/A
Ookami to Koushinryou: merchant meets the wise wolf,"['Anime', 'Tình cảm', 'Giả tưởng', 'Lịch sử', 'Phiêu lưu']","['8.3', '101']",Đang tiến hành,25,2024,"Sói Và Gia Vị (Spice and Wolf) 2024 là bản làm lại của bộ anime nổi tiếng Ookami to Koushinryou Cuộc sống du lịch của Kraft Lawrence là một cuộc hành trình đơn độc, đi từ thị trấn này đến thị trấn khác chỉ cùng chiếc xe ngựa và hàng hóa. Nhưng mọi thay đổi khi anh phát hiện một nữ thần sói, Holo, đang ẩn nấp trong xe của mình. Holo, trong hình dạng của một cô gái xinh đẹp với tai và đuôi sói, muốn đổi sự giúp đỡ của mình để tăng lợi nhuận cho Lawrence trong trao đổi là được đi cùng anh trong các chuyến du lịch. Lawrence không thể từ chối đề xuất này, nhưng sớm nhận ra rằng việc có một nữ thần cổ đại làm bạn đồng hành có thể mang lại cả mặt tích cực lẫn tiêu cực. Liệu Holo có thể được thuần hóa và hoà nhập vào cuộc sống du lịch của Lawrence không?"
Na Nare Hana Nare,"['Anime', 'Thể thao']","['5.2', '19']",Đang tiến hành,11,2024,N/A
Kinnikuman Perfect Origin Arc,"['Anime', 'Hài hước', 'Thể thao']","['3.0', '32']",Đang tiến hành,12,2024,N/A
